ID,Page Type,Category,Source Format,Target Format,Page Name,SEO Title,Meta Description,H1,URL Slug,Main Keyword,Supporting Keywords,Search Intent,Indexation,Indexation Note,Rollout Stage,Priority,Recommended Word Count,Parent Hub,Related Links,Canonical Strategy,Schema,Template Intro,Template Value Block,Template How-To Block,SEO Enrichment Points
1,Master Hub,all,,,File Converter,File Converter – Convert Files Online in Your Browser,"Browse file converter pages by category, format, and exact 1:1 conversion. Built for SEO, internal linking, and browser-based conversion intent.",File Converter,/file-converter/,file converter,"file converter, online file converter, free file converter, browser file converter, private file converter, convert files online",Navigational / discovery,Index now,Core navigation page,Launch,P1,"700-1,000",,/image-converter/ | /document-converter/ | /spreadsheet-converter/ | /audio-converter/ | /video-converter/,Self-canonical,BreadcrumbList + CollectionPage,"This top-level hub should explain the site architecture and route users into the right category, format hub, or exact converter page. It should be concise, crawlable, and heavily linked.","Use this page to link out to every major converter category, the strongest format hubs, and the highest-intent 1:1 pages. Keep the copy practical and navigation-led.","Template blocks: hero, category cards, popular conversions, privacy/local-processing block, and footer links to all converter directories.",Category cards; popular conversions; exact-match internal links; browser-only privacy block; top format hubs
2,Category Hub,image,,,Image Converter,Image Converter – Convert Files Online in Your Browser,"Convert image files in your browser. Browse the best image converter pages, formats, and 1:1 tools with clear internal links.",Image Converter,/image-converter/,image converter,"image converter, online image converter, free image converter, browser image converter, private image converter, convert image files online",Navigational,Index now,Core navigation page,Launch,P1,600-900,/file-converter/,/image/avif-converter/ | /image/gif-converter/ | /image/heic-converter/ | /image/jpg-converter/ | /image/png-converter/ | /image/svg-converter/ | /image/tiff-converter/ | /image/webp-converter/,Self-canonical,BreadcrumbList + CollectionPage,This image converter hub should group all image tools by format and by exact 1:1 page. Use clean crawlable links and highlight the strongest format hubs first.,"Add a short overview of the main formats, what users typically want to do, and the best starting points. This page should behave like a browseable map, not thin filler copy.","Template blocks: intro, format cards, most-used conversions, recently added tools, privacy block, and category-specific FAQs only where they add value.",Format cards; most-used conversions; exact-match child links; privacy block; category-specific use cases
3,Category Hub,document,,,Document Converter,Document Converter – Convert Files Online in Your Browser,"Convert document files in your browser. Browse the best document converter pages, formats, and 1:1 tools with clear internal links.",Document Converter,/document-converter/,document converter,"document converter, online document converter, free document converter, browser document converter, private document converter, convert document files online",Navigational,Index now,Core navigation page,Launch,P1,600-900,/file-converter/,/document/html-converter/ | /document/markdown-converter/ | /document/pdf-converter/ | /document/rtf-converter/ | /document/txt-converter/ | /document/word-converter/,Self-canonical,BreadcrumbList + CollectionPage,This document converter hub should group all document tools by format and by exact 1:1 page. Use clean crawlable links and highlight the strongest format hubs first.,"Add a short overview of the main formats, what users typically want to do, and the best starting points. This page should behave like a browseable map, not thin filler copy.","Template blocks: intro, format cards, most-used conversions, recently added tools, privacy block, and category-specific FAQs only where they add value.",Format cards; most-used conversions; exact-match child links; privacy block; category-specific use cases
4,Category Hub,spreadsheet,,,Spreadsheet Converter,Spreadsheet Converter – Convert Files Online in Your Browser,"Convert spreadsheet files in your browser. Browse the best spreadsheet converter pages, formats, and 1:1 tools with clear internal links.",Spreadsheet Converter,/spreadsheet-converter/,spreadsheet converter,"spreadsheet converter, online spreadsheet converter, free spreadsheet converter, browser spreadsheet converter, private spreadsheet converter, convert spreadsheet files online",Navigational,Index now,Core navigation page,Launch,P1,600-900,/file-converter/,/spreadsheet/csv-converter/ | /spreadsheet/excel-converter/ | /spreadsheet/ods-converter/ | /spreadsheet/tsv-converter/,Self-canonical,BreadcrumbList + CollectionPage,This spreadsheet converter hub should group all spreadsheet tools by format and by exact 1:1 page. Use clean crawlable links and highlight the strongest format hubs first.,"Add a short overview of the main formats, what users typically want to do, and the best starting points. This page should behave like a browseable map, not thin filler copy.","Template blocks: intro, format cards, most-used conversions, recently added tools, privacy block, and category-specific FAQs only where they add value.",Format cards; most-used conversions; exact-match child links; privacy block; category-specific use cases
5,Category Hub,audio,,,Audio Converter,Audio Converter – Convert Files Online in Your Browser,"Convert audio files in your browser. Browse the best audio converter pages, formats, and 1:1 tools with clear internal links.",Audio Converter,/audio-converter/,audio converter,"audio converter, online audio converter, free audio converter, browser audio converter, private audio converter, convert audio files online",Navigational,Index now,Core navigation page,Launch,P1,600-900,/file-converter/,/audio/m4a-converter/ | /audio/mp3-converter/ | /audio/ogg-converter/ | /audio/wav-converter/,Self-canonical,BreadcrumbList + CollectionPage,This audio converter hub should group all audio tools by format and by exact 1:1 page. Use clean crawlable links and highlight the strongest format hubs first.,"Add a short overview of the main formats, what users typically want to do, and the best starting points. This page should behave like a browseable map, not thin filler copy.","Template blocks: intro, format cards, most-used conversions, recently added tools, privacy block, and category-specific FAQs only where they add value.",Format cards; most-used conversions; exact-match child links; privacy block; category-specific use cases
6,Category Hub,video,,,Video Converter,Video Converter – Convert Files Online in Your Browser,"Convert video files in your browser. Browse the best video converter pages, formats, and 1:1 tools with clear internal links.",Video Converter,/video-converter/,video converter,"video converter, online video converter, free video converter, browser video converter, private video converter, convert video files online",Navigational,Index now,Core navigation page,Launch,P1,600-900,/file-converter/,/video/avi-converter/ | /video/mov-converter/ | /video/mp4-converter/ | /video/webm-converter/,Self-canonical,BreadcrumbList + CollectionPage,This video converter hub should group all video tools by format and by exact 1:1 page. Use clean crawlable links and highlight the strongest format hubs first.,"Add a short overview of the main formats, what users typically want to do, and the best starting points. This page should behave like a browseable map, not thin filler copy.","Template blocks: intro, format cards, most-used conversions, recently added tools, privacy block, and category-specific FAQs only where they add value.",Format cards; most-used conversions; exact-match child links; privacy block; category-specific use cases
7,Format Hub,image,AVIF,,AVIF Converter,AVIF Converter – Convert AVIF Files Online,"Convert AVIF files in your browser. Free, private, and fast. Very efficient modern image format and link to the best AVIF import and export pages.",AVIF Converter,/image/avif-converter/,avif converter,"avif converter, convert avif, avif file converter, online avif converter, browser avif converter, free avif converter, next-gen image",Navigational / comparison,Index now,Core navigation page,Launch,P2,500-800,/image-converter/,,Self-canonical,BreadcrumbList + CollectionPage,"This AVIF converter hub should explain what AVIF files are, why people convert them, and which import/export pages matter most. Split links into 'Convert from AVIF' and 'Convert to AVIF'.","Add a short format explainer, common use cases, compatibility notes, and the top exact-match child links. Include browser-only privacy messaging and a short FAQ only if it is genuinely unique.","Template blocks: short intro, format explainer, convert-from grid, convert-to grid, best pages list, related categories, and internal links to the strongest child pages.",Convert-from grid; convert-to grid; format explainer; compatibility notes; strongest child links; privacy block
8,Format Hub,image,GIF,,GIF Converter,GIF Converter – Convert GIF Files Online,"Convert GIF files in your browser. Free, private, and fast. Common for simple animations and link to the best GIF import and export pages.",GIF Converter,/image/gif-converter/,gif converter,"gif converter, convert gif, gif file converter, online gif converter, browser gif converter, free gif converter, animated gif",Navigational / comparison,Index now,Core navigation page,Launch,P2,500-800,/image-converter/,,Self-canonical,BreadcrumbList + CollectionPage,"This GIF converter hub should explain what GIF files are, why people convert them, and which import/export pages matter most. Split links into 'Convert from GIF' and 'Convert to GIF'.","Add a short format explainer, common use cases, compatibility notes, and the top exact-match child links. Include browser-only privacy messaging and a short FAQ only if it is genuinely unique.","Template blocks: short intro, format explainer, convert-from grid, convert-to grid, best pages list, related categories, and internal links to the strongest child pages.",Convert-from grid; convert-to grid; format explainer; compatibility notes; strongest child links; privacy block
9,Format Hub,image,HEIC,,HEIC Converter,HEIC Converter – Convert HEIC Files Online,"Convert HEIC files in your browser. Free, private, and fast. Ideal for iphone photos and link to the best HEIC import and export pages.",HEIC Converter,/image/heic-converter/,heic converter,"heic converter, convert heic, heic file converter, online heic converter, browser heic converter, free heic converter, heif converter, convert heif, heic file, iphone photo",Navigational / comparison,Index now,Core navigation page,Launch,P1,500-800,/image-converter/,,Self-canonical,BreadcrumbList + CollectionPage,"This HEIC converter hub should explain what HEIC files are, why people convert them, and which import/export pages matter most. Split links into 'Convert from HEIC' and 'Convert to HEIC'.","Add a short format explainer, common use cases, compatibility notes, and the top exact-match child links. Include browser-only privacy messaging and a short FAQ only if it is genuinely unique.","Template blocks: short intro, format explainer, convert-from grid, convert-to grid, best pages list, related categories, and internal links to the strongest child pages.",Convert-from grid; convert-to grid; format explainer; compatibility notes; strongest child links; privacy block
10,Format Hub,image,JPG,,JPG Converter,JPG Converter – Convert JPG Files Online,"Convert JPG files in your browser. Free, private, and fast. Small, widely supported image format and link to the best JPG import and export pages.",JPG Converter,/image/jpg-converter/,jpg converter,"jpg converter, convert jpg, jpg file converter, online jpg converter, browser jpg converter, free jpg converter, jpeg converter, convert jpeg, photo",Navigational / comparison,Index now,Core navigation page,Launch,P2,500-800,/image-converter/,,Self-canonical,BreadcrumbList + CollectionPage,"This JPG converter hub should explain what JPG files are, why people convert them, and which import/export pages matter most. Split links into 'Convert from JPG' and 'Convert to JPG'.","Add a short format explainer, common use cases, compatibility notes, and the top exact-match child links. Include browser-only privacy messaging and a short FAQ only if it is genuinely unique.","Template blocks: short intro, format explainer, convert-from grid, convert-to grid, best pages list, related categories, and internal links to the strongest child pages.",Convert-from grid; convert-to grid; format explainer; compatibility notes; strongest child links; privacy block
